backbone,id_size,method,implementation_version,n,AUROC,FPR95,AUPR_OUT
dinov2_vitl14,2,mahalanobis,verified_v1,84,0.9139075632315377,0.5013054553136894,0.9544268614395842
dinov2_vitl14,2,mahalanobispp,verified_v1,84,0.9123217055721982,0.5100552042179072,0.9534568072066911
dinov2_vitl14,2,rsn_paper,verified_v1,84,0.9105831945558043,0.4540463730117024,0.9564536192808542
dinov2_vitl14,2,dice,verified_v1,84,0.8986459616203355,0.674914276061329,0.9383073923711271
dinov2_vitl14,2,rmd,verified_v1,84,0.8624932709262092,0.5717222049202955,0.9377271080723856
dinov2_vitl14,2,entropy,verified_v1,84,0.8424650506103416,0.5065285696056131,0.9369599294602363
dinov2_vitl14,2,gen,verified_v1,84,0.8424650506103416,0.5065285696056131,0.9369599294602363
dinov2_vitl14,2,msp,verified_v1,84,0.8424650506103416,0.5065285696056131,0.9369599294602363
dinov2_vitl14,2,openmax,verified_v1,84,0.8424467035541389,0.5065820035894959,0.9369245039897307
dinov2_vitl14,2,maxlogit,verified_v1,84,0.8424304220076444,0.5066396187138741,0.9369442423088934
dinov2_vitl14,2,energy,verified_v1,84,0.8423507488663714,0.5067856655178672,0.9368024702964275
dinov2_vitl14,2,gradnorm,verified_v1,84,0.8411051776142845,0.5074768293931117,0.9365216185835672
dinov2_vitl14,2,scale,verified_v1,84,0.8378971844425835,0.5225646788098776,0.934318848280455
dinov2_vitl14,2,nci,verified_v1,84,0.8159456923195594,0.5888419566143964,0.9179929985845344
dinov2_vitl14,2,kl_matching,verified_v1,84,0.8102816052540008,0.5256214189074861,0.9254954330060773
dinov2_vitl14,2,react,verified_v1,84,0.5996810931687409,0.8785051217796233,0.7920321366849676
dinov2_vitl14,2,ashb,verified_v1,84,0.5166766872618619,0.9257773859307686,0.7637720544603248
dinov2_vitl14,2,ashs,verified_v1,84,0.5094499163445608,0.9385674381234898,0.753904481469249
dinov2_vitl14,2,ashp,verified_v1,84,0.49950964482313925,0.9531483560024128,0.7434841655850389
ALL,3,rsn_reported,verified_v1,336,0.8964875262298752,0.5004616655469656,0.912541665820769
ALL,3,knn,verified_v1,336,0.8910386512603177,0.5372612362818989,0.9053150138100977
ALL,3,rsn_paper,verified_v1,336,0.8848796505581065,0.5457589377425667,0.903763865222796
ALL,3,vim,verified_v1,336,0.8757656539859172,0.6569522147306548,0.8832544150594677
ALL,3,openmax,verified_v1,336,0.8738058970860059,0.5749811136082011,0.9026712037931617
ALL,3,mahalanobis,verified_v1,336,0.8720667443965279,0.6535772258755924,0.8815735465127338
ALL,3,msp,verified_v1,336,0.8717044981815251,0.5652157062671945,0.9026162075178041
ALL,3,gradnorm,verified_v1,336,0.8705944432181075,0.5595166719278359,0.9024906633757643
ALL,3,maxlogit,verified_v1,336,0.8704923698330179,0.5619743359141911,0.9024418209743743
ALL,3,mahalanobispp,verified_v1,336,0.869292730793648,0.6660859974610861,0.8784772610171007
ALL,3,entropy,verified_v1,336,0.8685728026904245,0.550598790184271,0.9025068277384194
ALL,3,gen,verified_v1,336,0.8678544088513579,0.550304271870569,0.9022267813258609
ALL,3,energy,verified_v1,336,0.8659752522221961,0.5492878311441702,0.9014690116328865
ALL,3,scale,verified_v1,336,0.8578826672962759,0.5577277113637763,0.8963362410313147
ALL,3,rmd,verified_v1,336,0.8477294077659362,0.5537909180595959,0.8931456188489804
ALL,3,dice,verified_v1,336,0.8430174706337588,0.7888591240282937,0.8541371526298539
ALL,3,kl_matching,verified_v1,336,0.8335409412470179,0.5809301398101168,0.8832600596173182
ALL,3,nci,verified_v1,336,0.8292659447155769,0.6795981158467105,0.85878857541801
ALL,3,react,verified_v1,336,0.6442847328216604,0.8719245284288588,0.7150807488511621
ALL,3,ashb,verified_v1,336,0.5058711005279212,0.9348588720944496,0.6342207710794433
ALL,3,ashp,verified_v1,336,0.5033893564639357,0.9566953783079827,0.6182353037410255
ALL,3,ashs,verified_v1,336,0.502205711299631,0.9484846184881504,0.623573851376708
dinov2_vitb14,3,rsn_reported,verified_v1,168,0.8879659084898004,0.5078847447170113,0.9076287556170313
dinov2_vitb14,3,rsn_paper,verified_v1,168,0.8815431194939507,0.5469700769108305,0.902201083748225
dinov2_vitb14,3,knn,verified_v1,168,0.8809970821144815,0.5557492571636986,0.8964461869633247
dinov2_vitb14,3,openmax,verified_v1,168,0.8731938408605638,0.5861794895722279,0.9009016675404714
dinov2_vitb14,3,msp,verified_v1,168,0.8716165856302159,0.5747527407294019,0.9011369002021578
dinov2_vitb14,3,maxlogit,verified_v1,168,0.87048754872086,0.5707295426796977,0.9010009318679263
dinov2_vitb14,3,gradnorm,verified_v1,168,0.8700946934635613,0.571894241971459,0.9002285178451712
dinov2_vitb14,3,entropy,verified_v1,168,0.8683841180209184,0.5584061755342419,0.9009570850657254
dinov2_vitb14,3,gen,verified_v1,168,0.86764902686503,0.55816643338305,0.9006569608140849
dinov2_vitb14,3,energy,verified_v1,168,0.8657756124553059,0.557755614052225,0.8998642372558537
dinov2_vitb14,3,scale,verified_v1,168,0.8573823436924555,0.5629196266189587,0.8953256034194533
dinov2_vitb14,3,vim,verified_v1,168,0.8568666798364726,0.7141174354466047,0.8654267057904723
dinov2_vitb14,3,mahalanobis,verified_v1,168,0.8539625687913072,0.7088725461882814,0.8640862977961385
dinov2_vitb14,3,mahalanobispp,verified_v1,168,0.8502429023675101,0.7265566501414674,0.8595581121101978
dinov2_vitb14,3,rmd,verified_v1,168,0.8423076887872383,0.5497593364713442,0.8928037593170948
