id_size,method_a,method_b,metric,n,mean_diff,ci_low,ci_high,good_rate
6,rsn_reported,vim,AUPR_OUT,168,0.099743,0.090491,0.108994,1.0
7,rsn_reported,ashb,AUROC,48,0.292112,0.245505,0.33872,0.979167
7,rsn_reported,ashb,FPR95,48,0.247194,0.1547,0.339688,0.75
7,rsn_reported,ashb,AUPR_OUT,48,0.233719,0.170876,0.296562,0.958333
7,rsn_reported,ashp,AUROC,48,0.297066,0.229408,0.364723,0.895833
7,rsn_reported,ashp,FPR95,48,0.260146,0.163868,0.356423,0.8125
7,rsn_reported,ashp,AUPR_OUT,48,0.245834,0.173891,0.317777,0.854167
7,rsn_reported,ashs,AUROC,48,0.272586,0.211724,0.333448,0.875
7,rsn_reported,ashs,FPR95,48,0.248722,0.151173,0.346272,0.708333
7,rsn_reported,ashs,AUPR_OUT,48,0.234463,0.164431,0.304494,0.833333
7,rsn_reported,dice,AUROC,48,0.145979,0.125501,0.166458,1.0
7,rsn_reported,dice,FPR95,48,0.17935,0.120474,0.238226,0.666667
7,rsn_reported,dice,AUPR_OUT,48,0.131632,0.107927,0.155338,1.0
7,rsn_reported,energy,AUROC,48,0.017513,-0.016336,0.051362,0.5625
7,rsn_reported,energy,FPR95,48,0.153292,0.062956,0.243628,0.4375
7,rsn_reported,energy,AUPR_OUT,48,0.085943,0.028755,0.143132,0.5
7,rsn_reported,entropy,AUROC,48,0.009453,-0.022085,0.040991,0.541667
7,rsn_reported,entropy,FPR95,48,0.15138,0.061648,0.241112,0.4375
