backbone,id_size,method,n,AUROC,FPR95,AUPR_OUT
ALL,6,kl_matching,168,0.832834,0.684377,0.59366
ALL,6,knn,168,0.839741,0.683533,0.577471
ALL,6,mahalanobis,168,0.804893,0.810184,0.505061
ALL,6,mahalanobispp,168,0.801617,0.818296,0.500567
ALL,6,maxlogit,168,0.845568,0.750971,0.568455
ALL,6,msp,168,0.847459,0.750647,0.570364
ALL,6,nci,168,0.812192,0.805226,0.515583
ALL,6,openmax,168,0.853413,0.686254,0.604408
ALL,6,react,168,0.676024,0.862474,0.394317
ALL,6,rmd,168,0.840512,0.624516,0.633876
ALL,6,rsn_paper,168,0.82958,0.715427,0.558049
ALL,6,rsn_reported,168,0.845382,0.633589,0.595276
ALL,6,scale,168,0.824629,0.754488,0.547387
ALL,6,vim,168,0.802297,0.824764,0.495534
dinov2_vitb14,6,ashb,84,0.493539,0.940254,0.263804
dinov2_vitb14,6,ashp,84,0.541668,0.940666,0.278236
dinov2_vitb14,6,ashs,84,0.537675,0.937347,0.279741
dinov2_vitb14,6,dice,84,0.698944,0.886137,0.414376
dinov2_vitb14,6,energy,84,0.813834,0.769274,0.533379
dinov2_vitb14,6,entropy,84,0.821954,0.768141,0.539665
dinov2_vitb14,6,gen,84,0.816041,0.769275,0.534979
dinov2_vitb14,6,gradnorm,84,0.816281,0.774556,0.530519
dinov2_vitb14,6,kl_matching,84,0.827044,0.687326,0.587655
dinov2_vitb14,6,knn,84,0.822009,0.68957,0.552096
dinov2_vitb14,6,mahalanobis,84,0.775356,0.868132,0.460317
dinov2_vitb14,6,mahalanobispp,84,0.770949,0.878194,0.45392
dinov2_vitb14,6,maxlogit,84,0.834288,0.762787,0.5532
dinov2_vitb14,6,msp,84,0.836585,0.761407,0.555581
dinov2_vitb14,6,nci,84,0.787045,0.870665,0.467134
dinov2_vitb14,6,openmax,84,0.845757,0.687265,0.598421
dinov2_vitb14,6,react,84,0.677109,0.863502,0.395457
dinov2_vitb14,6,rmd,84,0.843586,0.605205,0.64402
dinov2_vitb14,6,rsn_paper,84,0.82344,0.721775,0.554368
dinov2_vitb14,6,rsn_reported,84,0.830386,0.652113,0.57779
dinov2_vitb14,6,scale,84,0.805361,0.773313,0.523443
dinov2_vitb14,6,vim,84,0.76989,0.879973,0.45032
dinov2_vitl14,6,ashb,84,0.508428,0.945905,0.267102
dinov2_vitl14,6,ashp,84,0.535119,0.946633,0.274106
dinov2_vitl14,6,ashs,84,0.531785,0.946783,0.27253
dinov2_vitl14,6,dice,84,0.744893,0.814704,0.480456
dinov2_vitl14,6,energy,84,0.843311,0.734742,0.571774
dinov2_vitl14,6,entropy,84,0.848563,0.734856,0.575839
dinov2_vitl14,6,gen,84,0.844798,0.734942,0.572843
dinov2_vitl14,6,gradnorm,84,0.844877,0.725924,0.574696
dinov2_vitl14,6,kl_matching,84,0.838624,0.681428,0.599664
dinov2_vitl14,6,knn,84,0.857473,0.677495,0.602847
dinov2_vitl14,6,mahalanobis,84,0.834431,0.752236,0.549805
dinov2_vitl14,6,mahalanobispp,84,0.832286,0.758399,0.547213
dinov2_vitl14,6,maxlogit,84,0.856849,0.739155,0.583711
dinov2_vitl14,6,msp,84,0.858333,0.739888,0.585147
dinov2_vitl14,6,nci,84,0.83734,0.739787,0.564031
dinov2_vitl14,6,openmax,84,0.861069,0.685242,0.610395
dinov2_vitl14,6,react,84,0.67494,0.861447,0.393177
dinov2_vitl14,6,rmd,84,0.837438,0.643827,0.623732
dinov2_vitl14,6,rsn_paper,84,0.835721,0.709079,0.56173
dinov2_vitl14,6,rsn_reported,84,0.860379,0.615066,0.612762
dinov2_vitl14,6,scale,84,0.843897,0.735662,0.57133
dinov2_vitl14,6,vim,84,0.834704,0.769556,0.540747
ALL,7,ashb,48,0.530316,0.932922,0.154339
ALL,7,ashp,48,0.525363,0.945873,0.142223
ALL,7,ashs,48,0.549843,0.93445,0.153595
ALL,7,dice,48,0.67645,0.865078,0.256425
ALL,7,energy,48,0.804916,0.83902,0.302114
ALL,7,entropy,48,0.812976,0.837108,0.308102
ALL,7,gen,48,0.806822,0.838543,0.30339
ALL,7,gradnorm,48,0.801538,0.834049,0.301852
ALL,7,kl_matching,48,0.822657,0.70257,0.397176
ALL,7,knn,48,0.817101,0.735543,0.372852
ALL,7,mahalanobis,48,0.776996,0.846273,0.305681
ALL,7,mahalanobispp,48,0.773643,0.852433,0.302569
ALL,7,maxlogit,48,0.828374,0.825712,0.327095
ALL,7,msp,48,0.830435,0.823318,0.32979
ALL,7,nci,48,0.793354,0.846117,0.30708
ALL,7,openmax,48,0.834254,0.706946,0.396961
ALL,7,react,48,0.746413,0.814888,0.287435
ALL,7,rmd,48,0.828435,0.643945,0.442245
ALL,7,rsn_paper,48,0.807597,0.764314,0.345343
ALL,7,rsn_reported,48,0.822429,0.685728,0.388058
ALL,7,scale,48,0.804801,0.839882,0.301652
ALL,7,vim,48,0.772486,0.859974,0.292648
dinov2_vitb14,7,ashb,24,0.51831,0.932196,0.155994
dinov2_vitb14,7,ashp,24,0.569689,0.928691,0.162129
dinov2_vitb14,7,ashs,24,0.576714,0.914534,0.172591
dinov2_vitb14,7,dice,24,0.660446,0.896087,0.237415
dinov2_vitb14,7,energy,24,0.783025,0.862307,0.27788
dinov2_vitb14,7,entropy,24,0.793089,0.861486,0.284549
dinov2_vitb14,7,gen,24,0.785371,0.86233,0.279279
dinov2_vitb14,7,gradnorm,24,0.780938,0.862676,0.277205
dinov2_vitb14,7,kl_matching,24,0.811298,0.724765,0.377492
dinov2_vitb14,7,knn,24,0.795446,0.739496,0.349881
dinov2_vitb14,7,mahalanobis,24,0.742859,0.898808,0.267943
dinov2_vitb14,7,mahalanobispp,24,0.738223,0.904491,0.263562
dinov2_vitb14,7,maxlogit,24,0.810636,0.84287,0.304428
dinov2_vitb14,7,msp,24,0.81322,0.840044,0.307346
dinov2_vitb14,7,nci,24,0.761324,0.90907,0.259774
dinov2_vitb14,7,openmax,24,0.827607,0.71833,0.389339
dinov2_vitb14,7,react,24,0.717047,0.84986,0.262627
dinov2_vitb14,7,rmd,24,0.830193,0.647901,0.440101
dinov2_vitb14,7,rsn_paper,24,0.79957,0.77167,0.345778
dinov2_vitb14,7,rsn_reported,24,0.804576,0.708044,0.370791
dinov2_vitb14,7,scale,24,0.782383,0.863114,0.277189
dinov2_vitb14,7,vim,24,0.7353,0.906936,0.255953
dinov2_vitl14,7,ashb,24,0.542323,0.933647,0.152683
dinov2_vitl14,7,ashp,24,0.481037,0.963056,0.122318
dinov2_vitl14,7,ashs,24,0.522972,0.954366,0.134599
