scope,method_a,method_b,metric,cluster_unit,n_clusters,mean_effect,ci_low,ci_high,permutation_p,good_rate
id_size=7,rsn_class_std_huber_k150,global_std_euclidean_k150,AUROC,id_set_after_seed_backbone_mean,8,-0.0014255218497857642,-0.014669041813028565,0.011053015724527127,0.8559144085591441,0.5
m2_m7_equal_weight,rsn_class_std_huber_k150,global_std_euclidean_k150,AUROC,id_set_stratified_by_id_size,106,-0.00026159497192617434,-0.004850711716832835,0.003983374923363244,0.9422057794220577,0.5188679245283019
id_size=2,rsn_class_std_huber_k150,global_std_euclidean_k150,FPR95,id_set_after_seed_backbone_mean,28,0.023204161049375723,0.01174291823950818,0.035443981167361666,0.0004999500049995,0.8214285714285714
id_size=3,rsn_class_std_huber_k150,global_std_euclidean_k150,FPR95,id_set_after_seed_backbone_mean,0,,,,,
id_size=4,rsn_class_std_huber_k150,global_std_euclidean_k150,FPR95,id_set_after_seed_backbone_mean,70,0.028130978611370358,0.018168214217668836,0.03879944327345964,9.999000099990002e-05,0.7142857142857143
id_size=5,rsn_class_std_huber_k150,global_std_euclidean_k150,FPR95,id_set_after_seed_backbone_mean,0,,,,,
id_size=6,rsn_class_std_huber_k150,global_std_euclidean_k150,FPR95,id_set_after_seed_backbone_mean,0,,,,,
id_size=7,rsn_class_std_huber_k150,global_std_euclidean_k150,FPR95,id_set_after_seed_backbone_mean,8,0.02993745997675162,-3.447855049270927e-05,0.06370948438008661,0.21787821217878212,0.625
m2_m7_equal_weight,rsn_class_std_huber_k150,global_std_euclidean_k150,FPR95,id_set_stratified_by_id_size,106,0.02709086654583257,0.015430923843323775,0.03947942539907939,9.999000099990002e-05,0.7358490566037735
id_size=2,rsn_class_std_huber_k150,global_std_euclidean_k150,AUPR_OUT,id_set_after_seed_backbone_mean,28,0.0014055585697398966,0.00020564357429290797,0.002629477284659778,0.037196280371962806,0.6428571428571429
id_size=3,rsn_class_std_huber_k150,global_std_euclidean_k150,AUPR_OUT,id_set_after_seed_backbone_mean,0,,,,,
id_size=4,rsn_class_std_huber_k150,global_std_euclidean_k150,AUPR_OUT,id_set_after_seed_backbone_mean,70,0.006884553400791628,0.003797170737365922,0.010146204253829488,0.00019998000199980003,0.6714285714285714
id_size=5,rsn_class_std_huber_k150,global_std_euclidean_k150,AUPR_OUT,id_set_after_seed_backbone_mean,0,,,,,
id_size=6,rsn_class_std_huber_k150,global_std_euclidean_k150,AUPR_OUT,id_set_after_seed_backbone_mean,0,,,,,
id_size=7,rsn_class_std_huber_k150,global_std_euclidean_k150,AUPR_OUT,id_set_after_seed_backbone_mean,8,0.011756068229373962,-0.0038049667143690443,0.02884267967898211,0.25147485251474855,0.625
m2_m7_equal_weight,rsn_class_std_huber_k150,global_std_euclidean_k150,AUPR_OUT,id_set_stratified_by_id_size,106,0.006682060066635162,0.0013457746507533933,0.012492427945206809,9.999000099990002e-05,0.660377358490566
id_size=2,rsn_class_std_huber_k150,global_std_euclidean_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,28,0.0034398193086127593,0.0006666355248932292,0.00609172024636027,0.021097890210978902,0.6428571428571429
id_size=3,rsn_class_std_huber_k150,global_std_euclidean_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,0,,,,,
id_size=4,rsn_class_std_huber_k150,global_std_euclidean_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,70,0.005948957407022049,0.003192033385845063,0.008764865148088387,0.00019998000199980003,0.6571428571428571
id_size=5,rsn_class_std_huber_k150,global_std_euclidean_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,0,,,,,
id_size=6,rsn_class_std_huber_k150,global_std_euclidean_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,0,,,,,
id_size=7,rsn_class_std_huber_k150,global_std_euclidean_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,8,0.005004482091139326,-0.008446702197032465,0.01839074637787088,0.49175082491750827,0.625
