method,ood_class,AUROC,FPR95,AUPR_OUT,AUPR_OUT_BALANCED
rsn_delta075,serval,0.9210076060538941,0.5165323814539141,0.6293425249828964,0.8817501544196471
rsn_delta075,tiger,0.9757473051834135,0.06383874415653298,0.9207865217696067,0.962929823238152
rsn_delta100,cheetah,0.9263024850460364,0.5810968508657685,0.6491147255932525,0.8553187755761291
rsn_delta100,jaguar,0.7804688196694297,0.732284448810049,0.44913765142758094,0.7279039066858316
rsn_delta100,leopard,0.7796974409671564,0.6975522940436466,0.4794187735808775,0.726669470406073
rsn_delta100,lion,0.9550542436757512,0.31668881955053685,0.8091491279543844,0.9129076859603903
rsn_delta100,ocelot,0.8045637238000093,0.8302560677723383,0.4605358775669263,0.7168979686007546
rsn_delta100,puma,0.917752807941709,0.5705852251349891,0.7417611710173875,0.8562181721879434
rsn_delta100,serval,0.9209425410563475,0.5170275408198851,0.6288526894978352,0.881546805424168
rsn_delta100,tiger,0.9756610002293762,0.06432228640276041,0.9202333366537897,0.9626749456217675
rsn_delta200,cheetah,0.9257672135412616,0.5860857338188806,0.6460376756220464,0.8536653908957181
rsn_delta200,jaguar,0.7803421141752059,0.7348694048824609,0.4477243651015014,0.727102941828435
rsn_delta200,leopard,0.7795298015691853,0.7006903710112857,0.477681286545953,0.7257509062036199
rsn_delta200,lion,0.9548930431152043,0.3176296391436047,0.8079542887777967,0.9123022386101799
rsn_delta200,ocelot,0.8043382235772085,0.8315391263642097,0.45966494370389305,0.716235704065828
rsn_delta200,puma,0.9177250658002101,0.5755138751192873,0.7403746038550915,0.8552692275942727
rsn_delta200,serval,0.920648411118343,0.5194841466623797,0.6265346939349707,0.8805831344611031
rsn_delta200,tiger,0.9752157244601067,0.06649070950563095,0.9175270560022557,0.9614110267518623
rsn_delta300,cheetah,0.925340792062212,0.5902327009874132,0.643523682903388,0.8522985228322294
rsn_delta300,jaguar,0.7802090141946896,0.7365350804208556,0.4465814793107979,0.7264461338799766
rsn_delta300,leopard,0.7793423264946665,0.7028946039181614,0.4762664536629305,0.7249868244736638
rsn_delta300,lion,0.9547033653938884,0.3189625611563781,0.8067307132730895,0.9116673103277182
rsn_delta300,ocelot,0.8041862759453449,0.8324279218764851,0.45915194720635233,0.7158681866494996
rsn_delta300,puma,0.9175689186595759,0.5793673509404689,0.7391424872060763,0.8544117802882648
rsn_delta300,serval,0.9204401476941311,0.52116960321354,0.6247923815449385,0.8798513639036527
rsn_delta300,tiger,0.9748143719186879,0.0682621239265298,0.9152209675099046,0.9603229205410821
rsn_equalbank3000,cheetah,0.9160638088501644,0.689757115790234,0.5848758171896266,0.8325006054839766
rsn_equalbank3000,jaguar,0.7643794364293977,0.7845829661875922,0.39517042954166287,0.7050183246711991
rsn_equalbank3000,leopard,0.7426240880587416,0.7633192940763828,0.41102327775982156,0.6887887638777792
rsn_equalbank3000,lion,0.953657134600997,0.3134312336813622,0.7943644031640257,0.9145537640313621
rsn_equalbank3000,ocelot,0.7859267351385385,0.8796732198396013,0.40032107869582806,0.6863495188467988
rsn_equalbank3000,puma,0.9207308160877705,0.6269720172237065,0.7119760235464843,0.8481945176644189
rsn_equalbank3000,serval,0.903375873104907,0.6152241339420944,0.5454324305988608,0.8528207932740061
rsn_equalbank3000,tiger,0.9714256783960876,0.10316697646768402,0.8813483968559404,0.9496928432322032
rsn_k100,cheetah,0.9255476067487218,0.5852135823504528,0.6504689097362448,0.855917813702649
rsn_k100,jaguar,0.7791664173120543,0.7301880498754297,0.45052101594865485,0.7285994321235947
rsn_k100,leopard,0.7825732572713866,0.6942531130235182,0.48313112099888605,0.7299687559509632
rsn_k100,lion,0.953675578854881,0.35198210850882855,0.8040086197886914,0.9100272802372896
rsn_k100,ocelot,0.8028369390272009,0.828570445277688,0.4616123084824503,0.7180367545915767
rsn_k100,puma,0.9157838008254654,0.5657301083512456,0.7444078485728333,0.8580598811912563
rsn_k100,serval,0.9231046778540251,0.5030189739892261,0.6397481722148928,0.8864663803734502
rsn_k100,tiger,0.9767082957298635,0.056670469944093145,0.9265448467608303,0.9655165753017014
rsn_k25,cheetah,0.9161001635716034,0.6059754708687977,0.6382215732854344,0.8457090402723709
rsn_k25,jaguar,0.7770471722380093,0.7645266410792895,0.4415752271871355,0.7248204778714344
rsn_k25,leopard,0.789159503290664,0.74468376972864,0.4733124216505656,0.7300301323751069
rsn_k25,lion,0.9411077423406108,0.40159664752397584,0.7760702135410524,0.8959785039974315
rsn_k25,ocelot,0.8033011413711503,0.8185596409374752,0.4687956549744912,0.725742666006221
rsn_k25,puma,0.9124639312635161,0.5035033458307648,0.7605943834805802,0.8688910477524203
rsn_k25,serval,0.9302073292894845,0.4376707332222343,0.6791616077844159,0.903356902263425
rsn_k25,tiger,0.9760477595714443,0.049272790871739,0.9219510260738564,0.9632586718344545
rsn_k300,cheetah,0.9254865919555744,0.5904534881952819,0.6419631866464562,0.8513284393472715
rsn_k300,jaguar,0.7841227110333204,0.7417724885905826,0.4478808933646261,0.7279544507573474
rsn_k300,leopard,0.7745617567774302,0.7090114084414749,0.4715522397782174,0.7200312695116391
rsn_k300,lion,0.9549804391434692,0.304343738704392,0.8109407851615386,0.9146069350303846
rsn_k300,ocelot,0.8083346993210347,0.8354635427783245,0.45828392265658807,0.7147747603781595
rsn_k300,puma,0.9223572881526042,0.5952797022924138,0.737860995027764,0.8535481886672207
rsn_k300,serval,0.9155878497886376,0.5464710285085097,0.6074947829414733,0.8712249826826179
rsn_k300,tiger,0.9736480460915282,0.08352139268120383,0.9052822284879534,0.9556202586013172
rsn_k50,cheetah,0.9231954261656812,0.6007680413634237,0.6504995345267166,0.8547853202494152
rsn_k50,jaguar,0.7781788122588241,0.7304689188552015,0.4501029743910182,0.7284094926338309
rsn_k50,leopard,0.7870745116553891,0.6940440476699994,0.4850358828697863,0.7332626207239887
rsn_k50,lion,0.9483370332664508,0.3913058536347511,0.7903057692952664,0.9031562762418851
rsn_k50,ocelot,0.8021738893515733,0.8239110332109435,0.4651002090937553,0.7215549230806306
rsn_k50,puma,0.9129999252457313,0.5370027807184025,0.7503474518636865,0.8622331034390884
rsn_k50,serval,0.9267803317605475,0.47111850245509007,0.6611279050482303,0.8956481960787885
rsn_k50,tiger,0.9777582364921497,0.046768511057991874,0.9313957613919698,0.967621036069761
rsn_tau1e1,cheetah,0.9261339837125133,0.5825637212242984,0.6481388866798712,0.8547972222421526
rsn_tau1e1,jaguar,0.7804374708547651,0.733081153122457,0.4487140716110611,0.7276587936666721
rsn_tau1e1,leopard,0.7796587056107863,0.6985350688672287,0.4788831229196028,0.726384214454986
rsn_tau1e1,lion,0.955008241262991,0.31684478989571807,0.808790145182118,0.9127291150546646
rsn_tau1e1,ocelot,0.8045202689074376,0.8307246765554089,0.4602593870840428,0.7166937120990433
rsn_tau1e1,puma,0.917764989080177,0.5722081348648723,0.7413136185869732,0.8559154010555453
rsn_tau1e1,serval,0.920873076200903,0.5178060153019405,0.6281381494533399,0.8812574878677701
rsn_tau1e1,tiger,0.9755256605628142,0.06504568119892995,0.9193797839297421,0.9622762393758827
rsn_tau1e2,cheetah,0.9261289006736093,0.5826406779884741,0.648110603976202,0.854781036980614
rsn_tau1e2,jaguar,0.7804330126864663,0.7331298710706632,0.44866543306594553,0.7276363343320592
rsn_tau1e2,leopard,0.7796462545028208,0.6985825915654571,0.4788384859328209,0.7263633581426757
rsn_tau1e2,lion,0.9550089072858076,0.31685591265451235,0.8087786491672058,0.9127220676786191
rsn_tau1e2,ocelot,0.8044821989585811,0.8306807596291026,0.46022132002732574,0.7166550081172248
rsn_tau1e2,puma,0.917763245477152,0.5722015363738875,0.7413138108170444,0.8559143975277587
rsn_tau1e2,serval,0.9208418057460241,0.517889149215849,0.6280678788566842,0.8812208695851078
rsn_tau1e2,tiger,0.9755197177573932,0.06503933401928759,0.9193476160859932,0.9622625166884645
rsn_tau1e4,cheetah,0.9261289006736093,0.5826406779884741,0.648110603976202,0.854781036980614
rsn_tau1e4,jaguar,0.7804330126864663,0.7331298710706632,0.44866543306594553,0.7276363343320592
rsn_tau1e4,leopard,0.7796462545028208,0.6985825915654571,0.4788384859328209,0.7263633581426757
rsn_tau1e4,lion,0.9550089072858076,0.31685591265451235,0.8087786491672058,0.9127220676786191
rsn_tau1e4,ocelot,0.8044821989585811,0.8306807596291026,0.46022132002732574,0.7166550081172248
rsn_tau1e4,puma,0.917763245477152,0.5722015363738875,0.7413138108170444,0.8559143975277587
rsn_tau1e4,serval,0.9208418057460241,0.517889149215849,0.6280678788566842,0.8812208695851078
rsn_tau1e4,tiger,0.9755197177573932,0.06503933401928759,0.9193476160859932,0.9622625166884645
class_iqr_huber_k150,MACRO_8_SPECIES,0.8751006200636114,0.5583397667021016,0.6093347449184268,0.8205744304494342
class_mad_huber_k150,MACRO_8_SPECIES,0.8751369315050007,0.558027202021316,0.6095924998616054,0.8207084284425694
class_std_euclidean_k150,MACRO_8_SPECIES,0.8820930993665413,0.5450351999159293,0.638915979220901,0.8282732658089879
class_std_squared_k150,MACRO_8_SPECIES,0.8750917961133363,0.5643674075758494,0.6060445571154796,0.8190574367347796
global_std_euclidean_k150,MACRO_8_SPECIES,0.8818562907432195,0.5698104289777873,0.6279086656967137,0.824054217671755
global_std_huber_k150,MACRO_8_SPECIES,0.8756855721069283,0.583152885775692,0.5981345659740084,0.8166454757061605
global_std_squared_k150,MACRO_8_SPECIES,0.8816264494092004,0.5700602161284896,0.626611147401988,0.823252129409365
knn_l2_pooled_k50_kth,MACRO_8_SPECIES,0.8698629198178816,0.6003051160308696,0.5902672063287264,0.8105874220517147
