backbone,id_size,method,ood_class,n,AUROC,FPR95,AUPR_OUT
dinov2_vitl14,3,diag_raw,cheetah,105,0.937241,0.52285,0.695213
dinov2_vitl14,3,diag_raw,jaguar,105,0.801566,0.730306,0.4656
dinov2_vitl14,3,diag_raw,leopard,105,0.81585,0.680295,0.511246
dinov2_vitl14,3,diag_raw,lion,105,0.956444,0.372807,0.814321
dinov2_vitl14,3,diag_raw,ocelot,105,0.824379,0.823641,0.495002
dinov2_vitl14,3,diag_raw,puma,105,0.921131,0.570946,0.766274
dinov2_vitl14,3,diag_raw,serval,105,0.933961,0.474773,0.670832
dinov2_vitl14,3,diag_raw,tiger,105,0.979464,0.040005,0.942057
dinov2_vitl14,4,diag_raw,cheetah,105,0.931898,0.586046,0.604576
dinov2_vitl14,4,diag_raw,jaguar,105,0.76364,0.802136,0.344416
dinov2_vitl14,4,diag_raw,leopard,105,0.774244,0.757444,0.385904
dinov2_vitl14,4,diag_raw,lion,105,0.95258,0.381861,0.750838
dinov2_vitl14,4,diag_raw,ocelot,105,0.798623,0.894265,0.377098
dinov2_vitl14,4,diag_raw,puma,105,0.913381,0.631166,0.690267
dinov2_vitl14,4,diag_raw,serval,105,0.924,0.545057,0.568862
dinov2_vitl14,4,diag_raw,tiger,105,0.978058,0.042005,0.923803
dinov2_vitl14,5,diag_raw,cheetah,63,0.927777,0.629489,0.528246
dinov2_vitl14,5,diag_raw,jaguar,63,0.729706,0.859565,0.254586
dinov2_vitl14,5,diag_raw,leopard,63,0.734364,0.828296,0.285326
dinov2_vitl14,5,diag_raw,lion,63,0.949506,0.371374,0.691529
dinov2_vitl14,5,diag_raw,ocelot,63,0.778718,0.930833,0.296303
dinov2_vitl14,5,diag_raw,puma,63,0.907322,0.675445,0.624821
dinov2_vitl14,5,diag_raw,serval,63,0.915172,0.612324,0.481849
dinov2_vitl14,5,diag_raw,tiger,63,0.977123,0.043302,0.907764
dinov2_vitl14,6,diag_raw,cheetah,21,0.924503,0.650818,0.46546
dinov2_vitl14,6,diag_raw,jaguar,21,0.698896,0.908842,0.187742
dinov2_vitl14,6,diag_raw,leopard,21,0.695724,0.896942,0.203859
dinov2_vitl14,6,diag_raw,lion,21,0.947033,0.349085,0.636993
dinov2_vitl14,6,diag_raw,ocelot,21,0.763198,0.950292,0.241122
dinov2_vitl14,6,diag_raw,puma,21,0.902361,0.706726,0.56933
dinov2_vitl14,6,diag_raw,serval,21,0.907084,0.675998,0.407926
dinov2_vitl14,6,diag_raw,tiger,21,0.976444,0.044718,0.893256
dinov2_vitl14,7,diag_raw,cheetah,3,0.921853,0.649862,0.414084
dinov2_vitl14,7,diag_raw,jaguar,3,0.670831,0.951521,0.137549
dinov2_vitl14,7,diag_raw,leopard,3,0.658056,0.961217,0.136558
dinov2_vitl14,7,diag_raw,lion,3,0.945052,0.325438,0.587573
dinov2_vitl14,7,diag_raw,ocelot,3,0.7511,0.961597,0.201996
dinov2_vitl14,7,diag_raw,puma,3,0.898276,0.72757,0.523007
dinov2_vitl14,7,diag_raw,serval,3,0.899549,0.73361,0.345518
dinov2_vitl14,7,diag_raw,tiger,3,0.975929,0.04645,0.879337
dinov2_vitl14,ALL,diag_raw,cheetah,360,0.934386,0.55252,0.641921
dinov2_vitl14,ALL,diag_raw,jaguar,360,0.778451,0.771545,0.402602
dinov2_vitl14,ALL,diag_raw,leopard,360,0.788846,0.728088,0.441266
dinov2_vitl14,ALL,diag_raw,lion,360,0.95435,0.365883,0.773711
dinov2_vitl14,ALL,diag_raw,ocelot,360,0.810599,0.850262,0.437111
dinov2_vitl14,ALL,diag_raw,puma,360,0.917065,0.601464,0.720784
dinov2_vitl14,ALL,diag_raw,serval,360,0.928012,0.518191,0.610491
dinov2_vitl14,ALL,diag_raw,tiger,360,0.978826,0.041345,0.930942
